itemId,itemCost,itemMSRP,minOrderCost,quantity,shippingCost
24,4.28,6.49,1000,30,50
25,8.95,15.99,1000,40,50
26,3.74,4.99,1000,30,50
87,131.99,199.99,1000,10,50
88,20.15,31.99,1000,20,50
89,5.4,8.85,1000,50,50
90,9.85,16.99,1000,36,50
91,2.33,4.49,1000,24,50
92,9.09,13.99,1000,30,50
93,9.59,11.99,1000,30,50
94,14.49,24.99,1000,25,50
95,8.35,10.99,1000,25,50
96,4.43,5.99,1000,25,50
97,3.46,4.49,1000,30,50
98,14.62,18.99,1000,24,50
99,9.62,16.59,1000,24,50
100,7.29,9.99,1000,24,50
